player name,id,team,position,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37
Özil,1,Arsenal,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Sokratis,2,Arsenal,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
David Luiz,3,Arsenal,Defender,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,2.0,6.0,-3.0,0.0,1.0,1.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0
Aubameyang,4,Arsenal,Midfielder,7.0,5.0,2.0,2.0,2.0,2.0,8.0,2.0,3.0,2.0,2.0,0.0,10.0,0.0,0.0,3.0,3.0,3.0,15.0,0.0,0.0,1.0,1.0,20.0,2.0,1.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,6.0,,2.0
Cédric,5,Arsenal,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,5.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Lacazette,6,Arsenal,Forward,7.0,7.0,7.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,7.0,12.0,2.0,2.0,11.0,2.0,4.0,1.0,0.0,1.0,8.0,1.0,8.0,11.0,2.0,13.0,2.0,0.0,0.0,2.0,,0.0
Mustafi,7,Arsenal,Defender,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Leno,8,Arsenal,Goalkeeper,7.0,2.0,3.0,2.0,3.0,2.0,7.0,2.0,10.0,2.0,1.0,2.0,2.0,1.0,8.0,6.0,7.0,6.0,6.0,3.0,7.0,-1.0,0.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,6.0,0.0,0.0,0.0,11.0,,3.0
Xhaka,9,Arsenal,Midfielder,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,-2.0,0.0,0.0,8.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,,1.0
Marí,10,Arsenal,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,6.0,,0.0
Bellerín,11,Arsenal,Defender,5.0,2.0,0.0,11.0,2.0,1.0,12.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,8.0,0.0,1.0,8.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,,0.0
Chambers,13,Arsenal,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,6.0,0.0,2.0,1.0,6.0,,2.0
Kolasinac,14,Arsenal,Defender,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Holding,16,Arsenal,Defender,6.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,1.0,2.0,2.0,-1.0,2.0,9.0,10.0,6.0,6.0,2.0,8.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,2.0,0.0,9.0,,2.0
Tierney,17,Arsenal,Defender,6.0,0.0,1.0,2.0,2.0,2.0,6.0,1.0,6.0,0.0,1.0,2.0,2.0,0.0,4.0,6.0,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,,5.0
Pépé,18,Arsenal,Midfielder,1.0,1.0,1.0,6.0,2.0,1.0,0.0,1.0,-2.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,7.0,2.0,0.0,2.0,12.0,1.0,1.0,4.0,2.0,6.0,1.0,3.0,1.0,9.0,,15.0
Torreira,19,Arsenal,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Nelson,21,Arsenal,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Nketiah,22,Arsenal,Forward,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,,0.0
Smith Rowe,23,Arsenal,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,9.0,3.0,6.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,19.0,,2.0
Saka,24,Arsenal,Midfielder,0.0,2.0,0.0,8.0,2.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,13.0,6.0,8.0,3.0,9.0,13.0,0.0,2.0,2.0,5.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,8.0,,2.0
Guendouzi,25,Arsenal,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Martinelli,26,Arsenal,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,2.0,1.0,6.0,1.0,,6.0
Saliba,27,Arsenal,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Ryan,70,Arsenal,Goalkeeper,1.0,6.0,1.0,0.0,1.0,2.0,0.0,6.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,,0.0
Willian,478,Arsenal,Midfielder,14.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,11.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,10.0,,0.0
Gabriel,494,Arsenal,Defender,15.0,2.0,0.0,2.0,2.0,2.0,7.0,1.0,6.0,8.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,,2.0
Ceballos,501,Arsenal,Midfielder,1.0,8.0,0.0,3.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,8.0,2.0,3.0,1.0,,0.0
Elneny,526,Arsenal,Midfielder,3.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,11.0,5.0,,1.0
Macey,527,Arsenal,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Rúnarsson,547,Arsenal,Goalkeeper,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Partey,567,Arsenal,Midfielder,,,,,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,3.0,,2.0
